step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,3108,4,0.07124775965277885,0.0,0.6904761904761905,0.08887180627175117,0.0,0.6285714285714286
2,10632,8,0.03178167443701845,0.0,0.803030303030303,,,
3,16396,12,0.04024911398739575,0.0,0.8461538461538461,,,
4,24176,16,0.02810077535955897,0.0,0.935672514619883,,,
5,31988,20,0.023539955924982384,0.0,0.868421052631579,,,
6,39832,24,0.024703435735203318,0.0,0.8702290076335878,,,
7,45436,28,0.027031100815250987,0.0,0.9027777777777778,,,
8,49408,32,0.03663381701714586,0.0,0.703125,,,
9,53284,36,0.040607162353169995,0.0,0.8739495798319328,0.022056841437682224,0.0,0.8441558441558441
10,59816,40,0.02516536830134464,0.0,0.6976744186046512,,,
11,62604,44,0.06468937206583947,0.0,0.7580645161290323,,,
12,70320,48,0.021150781321115114,0.0,0.782608695652174,,,
13,76852,52,0.022204255445668213,0.0,0.8709677419354839,,,
14,79896,56,0.019507231042737418,0.25,0.8913043478260869,,,
15,83068,60,0.04286465255098055,0.25,0.8666666666666667,,,
16,87552,64,0.025255692791898314,0.0,0.8461538461538461,,,
17,91268,68,0.02040674101944111,0.0,0.5714285714285714,0.026739961223834215,0.0,0.8901098901098901
18,94056,72,0.03542225238712858,0.0,0.9393939393939394,,,
19,101324,76,0.02484869959273406,0.0,0.8376068376068376,,,
20,105168,80,0.033923040981066105,0.0,0.9291338582677166,,,
21,109684,84,0.024336932673416363,0.0,0.782608695652174,,,
22,112952,88,0.038739066809002125,0.0,0.5625,,,
23,118108,92,0.024445752113050688,0.0,0.8974358974358975,,,
24,124480,96,0.022212220012913793,0.0,0.8846153846153846,,,
25,130244,100,0.016282579625668203,0.0,0.8,0.022955450210255024,0.0,0.8942307692307693
26,132296,104,0.035810916072305334,0.0,0.8870967741935484,,,
27,140012,108,0.02347243063760137,0.0,0.8804347826086957,,,
28,141552,112,0.0971212290349956,0.0,0.8264462809917356,,,
29,145844,116,0.035555065360301605,0.0,0.782608695652174,,,
30,150456,120,0.02725682829592192,0.0,0.8490566037735849,,,
31,154524,124,0.03430580372588769,0.25,0.896551724137931,,,
32,159424,128,0.028003042994993635,0.0,0.6666666666666666,,,
33,163268,132,0.03157733216915567,0.0,0.8846153846153846,0.023015644564960264,0.0,0.8157894736842105
34,166280,136,0.02487227454021992,0.0,0.9298245614035088,,,
35,170412,140,0.029641492898038718,0.0,0.7857142857142857,,,
36,175760,144,0.022162578120875027,0.0,0.8505747126436781,,,
37,182580,148,0.02854664378094007,0.0,0.9320388349514563,,,
38,186232,152,0.026346860702705623,0.25,0.6956521739130435,,,
39,192348,156,0.029144393906293604,0.0,0.8095238095238095,,,
40,200064,160,0.01525522190011391,0.0,0.7547169811320755,,,
41,202340,164,0.03251290419560342,0.0,0.891566265060241,0.028733208617921852,0.25,0.875
42,204488,168,0.042887997361521955,0.0,0.8461538461538461,,,
43,209900,172,0.023393620404277664,0.0,0.8878504672897196,,,
44,213776,176,0.026608927121259104,0.0,0.8823529411764706,,,
45,220180,180,0.022544685548508546,0.0,0.9202453987730062,,,
46,227768,184,0.01550744303505739,0.25,0.851063829787234,,,
47,235644,188,0.01791549621119819,0.0,0.8181818181818182,,,
48,243360,192,0.01621274037646823,0.25,0.88,,,
49,247428,196,0.024750141546424624,0.0,0.9461077844311377,0.026490528541566038,0.0,0.9642857142857143
50,253192,200,0.022660155068459354,0.0,0.9230769230769231,,,
51,255276,204,0.03770689037649467,0.25,0.9047619047619048,,,
52,263088,208,0.017755643942052927,0.25,0.8888888888888888,,,
53,267028,212,0.024173546289056633,0.0,0.859375,,,
54,272024,216,0.023353602137852682,0.0,0.8653846153846154,,,
55,277308,220,0.0303939246127556,0.0,0.5609756097560976,,,
56,281248,224,0.031117021992766683,0.0,0.86,,,
57,285956,228,0.03266539310008678,0.0,0.7321428571428571,0.024610065184469145,0.0,0.9327731092436975
58,291272,232,0.026587264067369866,0.0,0.8761061946902655,,,
59,297740,236,0.02575228608250691,0.25,0.8085106382978723,,,
60,300144,240,0.04197789519445692,0.0,0.9193548387096774,,,
61,307508,244,0.021291371307951956,0.0,0.9,,,
62,309720,248,0.04695519384594361,0.0,0.8777777777777778,,,
63,312924,252,0.030589355781976565,0.0,0.918918918918919,,,
64,320800,256,0.025097764454155173,0.0,0.7692307692307693,,,
65,325252,260,0.031118743091905484,0.0,0.59375,0.019776154381204683,0.0,0.8875
66,331080,264,0.017213000862645562,0.0,0.93125,,,
