step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,2276,4,0.09409642698571842,0.0,0.8529411764705882,0.040657426518790285,0.0,0.7446808510638298
2,10056,8,0.03318162001659717,0.0,0.5641025641025641,,,
3,12332,12,0.07739376290953534,0.0,0.8857142857142857,,,
4,16656,16,0.040460832839614214,0.0,0.7469879518072289,,,
5,20980,20,0.029682320347716267,0.0,0.8142857142857143,,,
6,25496,24,0.043439304862700735,0.0,0.9178082191780822,,,
7,29340,28,0.031848674545833094,0.0,0.9112903225806451,,,
8,35616,32,0.02452039940952496,0.0,0.7647058823529411,,,
9,41348,36,0.02412970486556386,0.0,0.47368421052631576,0.08759125031025418,0.0,0.8037383177570093
10,44168,40,0.03102178426123119,0.0,0.8,,,
11,47596,44,0.04082224839642924,0.0,0.5833333333333334,,,
12,53008,48,0.022934628018721266,0.0,0.75,,,
13,55828,52,0.03526229566792861,0.0,0.7818181818181819,,,
14,58104,56,0.04285581791729456,0.0,0.8103448275862069,,,
15,62492,60,0.029226834683153118,0.0,0.7954545454545454,,,
16,67296,64,0.02523067861453604,0.0,0.9323308270676691,,,
17,74884,68,0.02089170752981262,0.0,0.8333333333333334,0.028885327431335234,0.0,0.9333333333333333
18,79176,72,0.01815283055276674,0.0,0.825,,,
19,84108,76,0.0203665874634992,0.0,0.8163265306122449,,,
20,89200,80,0.02589183794485597,0.0,0.8653846153846154,,,
21,91380,84,0.053003358703502375,0.0,0.8369565217391305,,,
22,93784,88,0.035890316976866905,0.25,0.973384030418251,,,
23,101596,92,0.019595977038613998,0.0,0.9207920792079208,,,
24,109344,96,0.024495469193046696,0.0,0.8082191780821918,,,
25,115812,100,0.023257254735374468,0.0,0.8627450980392157,0.027131564440601493,0.0,0.8769230769230769
26,118120,104,0.06322732800181037,0.0,0.8776978417266187,,,
27,123884,108,0.022980293217151195,0.0,0.8230088495575221,,,
28,129232,112,0.023107694678282196,0.0,0.8698630136986302,,,
29,132180,116,0.04110734169312077,0.0,0.8607594936708861,,,
30,139960,120,0.02117305152866658,0.0,0.5588235294117647,,,
31,147676,124,0.017900683168388692,0.0,0.9279279279279279,,,
32,155520,128,0.014169245479925088,0.0,0.9223300970873787,,,
33,163396,132,0.019598693525851897,0.0,0.90625,0.052124200194210754,0.0,0.8585858585858586
34,165608,136,0.03311449815679801,0.0,0.8484848484848485,,,
35,172748,140,0.02169801832241032,0.0,0.9630996309963099,,,
36,176400,144,0.031319988094854465,0.0,0.8703703703703703,,,
37,179988,148,0.02447289540904903,0.0,0.8947368421052632,,,
38,184824,152,0.025009351300966553,0.0,0.8214285714285714,,,
